#,Speaker,Company,Stage,Conference,Location,Date
168,Kevin Weaver,Optimism,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
169,Kirk Baird,Sigma Prime,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
170,Kite Liu,Uniswap Labs,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
171,Kolten Bergeron,Stellar Development Foundation,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
172,Krzysztof Gogol,,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
173,Kubi Mensah,Gattaca,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
174,Ladislaus von Daniels,Ethereum Foundation,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
175,Lamboshi,EthStaker,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
176,Laszlo Szabo,Kiln,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
177,Laurence Day,Wildcat Protocol,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
178,Leo,MigaLabs,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
179,Lera,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
180,Lioba Heimbach,ETH Zurich,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
181,Liz Steininger,Least Authority,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
182,Lola Rigaut-Luczak,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
183,Louie O'Connor,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
184,Luca Winter,Serenita,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
185,Luis Correia,Flashbots,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
186,Marc Stenger,Société Générale-Forge,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
187,Marcin Kazmierczak,RedStone Oracles,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
188,Maria Magenes,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
189,Mariia Keiko,CoW DAO,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
190,Marina Markezic,European Crypto Initiative,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
191,Mario Baxter Cabrera,Aave,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
192,Marius van der Wijden,Ethereum Foun,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
193,Mark Ballandies,ETH Zurich,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
194,Martin Bruncko,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
195,Martin de Rijke,Maple Finance,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
196,Martin Hansen,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
197,Martin Leclercq,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
198,Massimo Cervesato,Mastercard,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
199,Matt Pearring,,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
200,Max Lomu,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
201,MB Richardson,Bancor Protocol,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
202,Meinhard Benn,SatoshiPay,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
203,Mende,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
204,Merlin Egalite,Morpho,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
205,Michael Noble,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
206,Michael Wu,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
207,Mike McCabe,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
208,Mohsen Ahmadvand,,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
209,Mooly Sagiv,Certora,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
210,Murat Ögat,Aktionariat,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
211,Nadia Ivanova-banda,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
212,Nahim Terrazas,Across Protocol,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
213,Nassim Alexa,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
214,Nicolas Assouad,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
215,Nicolas Consigny,Ethereum Foundation,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
216,Nikhil J.,USA,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
217,Nischal Sharma,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
218,Nisedo,Trail of Bits,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
219,Noid,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
220,Norbert Vadas,Zenith,Hepburn,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
221,Oghenekaro Elem,,Chaplin,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
222,Oisín Kyne,,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
223,Oleg Lodygensky,,Burton,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
224,Olivier Desenfans,Aleph Cloud,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
225,Ophelia Snyder,21Shares,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
226,Oskarth,Waku / Status,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
227,Ottdogg,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
228,Otto Jacobsson,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
229,OxFlint_,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
230,Pablo Veyrat,Angle Protocol,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
231,Pamina Georgiev,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
232,Patricio Worthalter,POAP,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
233,Patrick Hansen,Circle,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
234,Paul Brody,EY (Ernst & Young,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
235,Paul Schoenfelder,Miden (Polygon,Kelly,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
236,Pauline Shangett,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
237,PBJ,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
238,Pedro Gomes,WalletConnect,Monroe,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
239,Petar Atanasovski,,Redford,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
240,Peter Us,,Taylor,EthCC[9],"Palais des Festivals, Cannes, France","March 30 - April 2, 2026"
